model,exact,under,adj,hi_recall,cp95_lo,cp95_hi
RF only,0.8074,0.0376,0.9624,0.7227,0.9611,0.9637
kNN only,0.8032,0.061,0.939,0.2559,0.9373,0.9406
Soft vote,0.8077,0.048,0.952,0.5095,0.9506,0.9535
Cons. majority,0.7935,0.0218,0.9782,0.7441,0.9772,0.9792
ARAT-A,0.7935,0.0218,0.9782,0.7441,0.9772,0.9792
LightGBM,0.8056,0.0461,0.9539,0.7796,0.9524,0.9553
LGB α=2,0.8256,0.0335,0.9665,0.6991,0.9653,0.9677
LGB α=3,0.8254,0.0335,0.9665,0.6896,0.9652,0.9677
LGB α=5,0.8246,0.0336,0.9664,0.7014,0.9652,0.9676
LGB α=50,0.8238,0.0333,0.9667,0.7962,0.9654,0.9679
XGBoost,0.8007,0.0497,0.9503,0.8578,0.9488,0.9518
CatBoost,0.7953,0.0213,0.9787,0.9621,0.9776,0.9796
